nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
GKL0634006201A1,AMOXICILLIN TRIHYDRATE,AMOXICILLIN TRIHYDRATE,['AMOXICILLIN TRIHYDRATE'],antibiotik_beta,antibiotik_beta,1
GKL2117630144A1,AMPICILLIN SODIUM,AMPICILLIN SODIUM,['AMPICILLIN SODIUM'],antibiotik_beta,antibiotik_beta,1
GKL2517634944B1,AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 1000 MG & SULBACTAM 500 MG,['AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 1000 MG & SULBACTAM 500 MG'],antibiotik_beta,antibiotik_beta,1
GKL2502368644A1,AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 1000MG & SULBACTAM 500MG,['AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 1000MG & SULBACTAM 500MG'],antibiotik_beta,antibiotik_beta,1
GKL2517634944A1,AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 500 MG & SULBACTAM 250 MG,['AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 500 MG & SULBACTAM 250 MG'],antibiotik_beta,antibiotik_beta,1
GKL2502368644B1,AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 500MG & SULBACTAM 250MG,['AMPICILLIN SODIUM AND SULBACTAM SODIUM ~ AMPICILLIN 500MG & SULBACTAM 250MG'],antibiotik_beta,antibiotik_beta,1
GKL2115305544A1,AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM dan SULBACTAM SODIUM ~ AMPICILLIN 1000 MG dan SULBACTAM 500,['AMPICILLIN SODIUM dan SULBACTAM SODIUM ~ AMPICILLIN 1000 MG dan SULBACTAM 500'],antibiotik_beta,antibiotik_beta,1
GKL1040700104A1,AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,['AMPICILLIN TRIHYDRATE'],antibiotik_beta,antibiotik_beta,1
DTL8317601708A1,ANADEX,PARACETAMOL. DEXTROMETHORPHAN HYDROBROMIDE. CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE,['PARACETAMOL. DEXTROMETHORPHAN HYDROBROMIDE. CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE'],UNKNOWN,,0
DTL7613004337A1,ANAKONIDIN,CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | GUAIFENESIN | PSEUDOEPHEDRINE HYDROCHLORIDE,"['CHLORPHENAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",UNKNOWN,,0
DPL8822208609A1,ANALSIK,DIAZEPAM | METAMIZOLE SODIUM,"['DIAZEPAM', 'METAMIZOLE SODIUM']",antikonvulsan,antikonvulsan,1
DKL9222212709B1,ANBACIM,CEFUROXIME AXETIL,['CEFUROXIME AXETIL'],UNKNOWN,,0
DKL0707917716A1,ANDALAN,LEVONORGESTREL. ETHINYLESTRADIOL,['LEVONORGESTREL. ETHINYLESTRADIOL'],UNKNOWN,,0
DKL0431900443A1,ANDALAN (CYCLOGESTON),MEDROXYPROGESTERONE ACETATE. ESTRADIOL CIPIONATE,['MEDROXYPROGESTERONE ACETATE. ESTRADIOL CIPIONATE'],UNKNOWN,,0
DKL1918605210A1,ANDALAN LAKTASI,LYNESTRENOL,['LYNESTRENOL'],UNKNOWN,,0
DKL1732209528A1,ANDANTOL,ISOTHIPENDYL HYDROCHLORIDE,['ISOTHIPENDYL HYDROCHLORIDE'],UNKNOWN,,0
DKL8715606737A1,ANDONEX,DEXTROMETHORPHAN HYDROBROMIDE | DIPHENHYDRAMINE HYDROCHLORIDE | GUAIFENESIN | PHENYLEPHRINE HYDROCHLORIDE,"['DEXTROMETHORPHAN HYDROBROMIDE', 'DIPHENHYDRAMINE HYDROCHLORIDE', 'GUAIFENESIN', 'PHENYLEPHRINE HYDROCHLORIDE']",UNKNOWN,,0
DKI2635600628A1,ANDROGEL,TESTOSTERONE,['TESTOSTERONE'],UNKNOWN,,0
DKI0768202417A1,ANGELIQ,DROSPIRENONE. ESTRADIOL HEMIHYDRATE,['DROSPIRENONE. ESTRADIOL HEMIHYDRATE'],UNKNOWN,,0
