backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
DKI1151302568A1,DKI1151302568A1,PULMICORT RESPULES,BUDESONIDE,BUDESONIDE,['BUDESONIDE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,CAIRAN INHALASI,lainnya,inhalasi,"DUS, 4 PAK @ 5 RESPULES @ 2 ML",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2025-09-29,2030-09-29,Berlaku,aktif,1577,1,drug_name_category_lookup.csv,BUDESONIDE,curated_rule
DBL1718907323A1,DBL1718907323A1,PUYER PIM,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE,['PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas - Lokal,Obat Bebas,0,1,SERBUK ORAL; 350 MG /300 MG /50 MG,lainnya,oral,SACHET @ 705 MG,PIM PHARMACEUTICALS - Indonesia,PIM PHARMACEUTICALS,Indonesia,2022-08-31,2027-06-05,Berlaku,aktif,365,1,drug_name_category_lookup.csv,ACETYLSALICYLIC|CAFFEINE,curated_rule
DKI2451304617A1,DKI2451304617A1,QTERN,DAPAGLIFLOZIN PROPANEDIOL. SAXAGLIPTIN,DAPAGLIFLOZIN PROPANEDIOL. SAXAGLIPTIN,['DAPAGLIFLOZIN PROPANEDIOL. SAXAGLIPTIN'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT; 12.3 mg /5 mg,tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2024-04-29,2029-04-29,Berlaku,aktif,1059,1,drug_name_category_lookup.csv,DAPAGLIFLOZIN,curated_rule
DKI1875705067A1,DKI1875705067A1,RELVAR ELLIPTA,FLUTICASONE FUROATE | VILANTEROL TRIFENATATE,FLUTICASONE FUROATE | VILANTEROL TRIFENATATE,"['FLUTICASONE FUROATE', 'VILANTEROL TRIFENATATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,SERBUK INHALER,lainnya,oral,"DUS, 1 ELLIPTA @ 30 DOSIS",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2026-01-21,2030-10-05,Berlaku,aktif,1583,1,drug_name_category_lookup.csv,FLUTICASONE,curated_rule
LKE25066211,LKE25066211,RENITEC PLUS,ENALAPRIL MALEATE | HYDROCHLOROTHIAZIDE,ENALAPRIL MALEATE | HYDROCHLOROTHIAZIDE,"['ENALAPRIL MALEATE', 'HYDROCHLOROTHIAZIDE']",2,ace_arb,ace_arb,ace_arb,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET,tablet,oral,"DRUM, MAKSIMUM @ 35 KG ;; DUS, 3 BLISTER @ 10 TABLET",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2025-04-24,2030-04-24,Berlaku,aktif,1419,2,drug_name_category_lookup.csv,ENALAPRIL,curated_rule
LKE13147022,LKE13147022,REXIDOL FORTE,CAFFEINE. PARACETAMOL,CAFFEINE. PARACETAMOL,['CAFFEINE. PARACETAMOL'],1,xantin,xantin,xantin,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET; 65 mg /500 MG,tablet,oral,"DUS, 10 BLISTER @ 10 TABLET",MEDIFARMA LABORATORIES - Indonesia,MEDIFARMA LABORATORIES,Indonesia,2023-09-05,2028-09-05,Berlaku (Khusus Ekspor),aktif,823,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
IKE24669001,IKE24669001,ROSUZET,EZETIMIBE. ROSUVASTATIN CALCIUM,EZETIMIBE. ROSUVASTATIN CALCIUM,['EZETIMIBE. ROSUVASTATIN CALCIUM'],1,statin,statin,statin,1,Impor - Khusus Ekspor,Khusus Ekspor,0,0,"KOMBINASI BEBERAPA BENTUK SEDIAAN DALAM SATU KEMASAN; 10 MG /41,583 MG",lainnya,lainnya,"DUS, 3 WALLET @ 2 BLISTER (1 BLISTER @ 10 TABLET EZETIMIBE + 1 BLISTER @ 10 TABLET SALUT SELAPUT ROSUVASTATIN)",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2024-01-03,2029-01-03,Berlaku (Khusus Ekspor),aktif,943,1,drug_name_category_lookup.csv,ROSUVASTATIN,curated_rule
LKE25066212,LKE25066212,ROSUZET,EZETIMIBE | ROSUVASTATIN CALCIUM,EZETIMIBE | ROSUVASTATIN CALCIUM,"['EZETIMIBE', 'ROSUVASTATIN CALCIUM']",2,statin,statin,statin,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,KOMBINASI BEBERAPA BENTUK SEDIAAN DALAM SATU KEMASAN,lainnya,lainnya,"DUS, 3 WALLET @ 2 BLISTER (1 BLISTER @ 10 TABLET EZETIMIBE + 1 BLISTER @ 10 TABLET SALUT SELAPUT ROSUVASTATIN)",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2025-10-16,2030-10-16,Berlaku,aktif,1594,1,drug_name_category_lookup.csv,ROSUVASTATIN,curated_rule
DKL2434617217A1,DKL2434617217A1,ROXAF,RIVAROXABAN,RIVAROXABAN,['RIVAROXABAN'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",FERRON PAR PHARMACEUTICALS - Indonesia,FERRON PAR PHARMACEUTICALS,Indonesia,2026-01-16,2031-01-16,Berlaku,aktif,1686,1,drug_name_category_lookup.csv,RIVAROXABAN,curated_rule
DKI2232300743A1,DKI2232300743A1,RYZODEG,INSULIN DEGLUDEC. INSULIN ASPART,INSULIN DEGLUDEC. INSULIN ASPART,['INSULIN DEGLUDEC. INSULIN ASPART'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,LARUTAN INJEKSI; 70 U /30 U,injeksi,parenteral,"DUS, 5 CARTRIDGE @ 3 ML IN PREFILLED PEN (FLEXTOUCH)",FERRON PAR PHARMACEUTICALS - Indonesia,FERRON PAR PHARMACEUTICALS,Indonesia,2022-06-04,2027-06-03,Berlaku,aktif,363,1,drug_name_category_lookup.csv,INSULIN,curated_rule
DKI2232300743A2,DKI2232300743A2,RYZODEG,INSULIN ASPART | INSULIN DEGLUDEC,INSULIN ASPART | INSULIN DEGLUDEC,"['INSULIN ASPART', 'INSULIN DEGLUDEC']",2,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,LARUTAN INJEKSI,injeksi,parenteral,"DUS, 5 CARTRIDGE @ 3 ML IN PRE-FILLED PEN (FLEXPEN)",FERRON PAR PHARMACEUTICALS - Indonesia,FERRON PAR PHARMACEUTICALS,Indonesia,2025-09-10,2030-09-10,Berlaku,aktif,1558,1,drug_name_category_lookup.csv,INSULIN,curated_rule
DKI2218604817A1,DKI2218604817A1,SACUVAN,SACUBITRIL VALSARTAN SODIUM,SACUBITRIL VALSARTAN SODIUM,['SACUBITRIL VALSARTAN SODIUM'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2025-06-16,2030-06-16,Berlaku,aktif,1472,1,drug_name_category_lookup.csv,VALSARTAN,curated_rule
DKL9906411829A1,DKL9906411829A1,SALGEN PLUS,GENTAMICIN SULFATE. BETAMETHASONE VALERATE,GENTAMICIN SULFATE. BETAMETHASONE VALERATE,['GENTAMICIN SULFATE. BETAMETHASONE VALERATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"KRIM; 1,785 mg /1,26 MG",krim,topikal,"DUS, 1 TUBE @ 10 G",ERLIMPEX - Indonesia,ERLIMPEX,Indonesia,2021-06-14,2026-06-14,Berlaku,aktif,9,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL7622252130A1,DKL7622252130A1,SANCORTMYCIN,HYDROCORTISONE. OXYTETRACYCLINE HYDROCHLORIDE,HYDROCORTISONE. OXYTETRACYCLINE HYDROCHLORIDE,['HYDROCORTISONE. OXYTETRACYCLINE HYDROCHLORIDE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SALEP; 10 MG /- MG,salep,topikal,"DUS, 1 TUBE @ 10 G",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2021-12-23,2026-12-23,Berlaku,aktif,201,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
DKL2222263709A1,DKL2222263709A1,SANOFETIL,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,['MYCOPHENOLATE MOFETIL'],1,imunosupresan,imunosupresan,imunosupresan,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 5 STRIP @ 10 KAPLET SALUT SELAPUT",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-06-19,2030-06-19,Berlaku,aktif,1475,1,drug_name_category_lookup.csv,MYCOPHENOLATE,curated_rule
DTL0502005210A1,DTL0502005210A1,SARIDON,CAFFEINE | PARACETAMOL | PROPYPHENAZONE,CAFFEINE | PARACETAMOL | PROPYPHENAZONE,"['CAFFEINE', 'PARACETAMOL', 'PROPYPHENAZONE']",3,xantin,xantin,xantin,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,TABLET,tablet,oral,"DUS, 30 BLISTER @ 4 TABLET",BAYER INDONESIA - Indonesia,BAYER INDONESIA,Indonesia,2025-12-04,2030-12-04,Berlaku,aktif,1643,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKL9422710629A1,DKL9422710629A1,SCANDERMA PLUS,BACITRACIN ZINC | BETAMETHASONE DIPROPIONATE | NEOMYCIN SULFATE,BACITRACIN ZINC | BETAMETHASONE DIPROPIONATE | NEOMYCIN SULFATE,"['BACITRACIN ZINC', 'BETAMETHASONE DIPROPIONATE', 'NEOMYCIN SULFATE']",3,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 5 G ;; DUS, 1 TUBE @ 10 G",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2025-01-16,2027-09-06,Berlaku,aktif,458,2,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL2522730029A1,DKL2522730029A1,SCANDEXON,CLOTRIMAZOLE | DEXAMETHASONE ACETATE,CLOTRIMAZOLE | DEXAMETHASONE ACETATE,"['CLOTRIMAZOLE', 'DEXAMETHASONE ACETATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 5 G ;; DUS, 1 TUBE @ 10 G",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2025-06-05,2030-05-16,Berlaku,aktif,1441,2,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKI2008101043A1,DKI2008101043A1,SCILIN N,HUMAN INSULIN,HUMAN INSULIN,['HUMAN INSULIN'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,INJEKSI; 100 IU,injeksi,parenteral,"DUS, 5 CARTRIDGES @ 3 ML",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2023-07-23,2025-03-02,Berlaku,kedaluwarsa,-460,1,drug_name_category_lookup.csv,INSULIN,curated_rule
DKI1191600568B2,DKI1191600568B2,SERETIDE 125,SALMETEROL XINAFOATE. FLUTICASONE PROPIONAT,SALMETEROL XINAFOATE. FLUTICASONE PROPIONAT,['SALMETEROL XINAFOATE. FLUTICASONE PROPIONAT'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,CAIRAN INHALASI; 25 MCG /125 MCG,lainnya,inhalasi,"DUS, 1 CANISTER @ 120 DOSIS DENGAN DOSE COUNTER",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2021-09-21,2026-09-21,Berlaku,aktif,108,1,drug_name_category_lookup.csv,FLUTICASONE,curated_rule
DKI1991500167A1,DKI1991500167A1,SERETIDE DISKUS,FLUTICASONE PROPIONATE. SALMETEROL XINAFOATE,FLUTICASONE PROPIONATE. SALMETEROL XINAFOATE,['FLUTICASONE PROPIONATE. SALMETEROL XINAFOATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,SERBUK INHALER; 100 MCG /72.5 mcg,lainnya,oral,"DUS, 1 DISKUS @ 60 DOSIS",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-01-21,2027-01-21,Berlaku,aktif,230,1,drug_name_category_lookup.csv,FLUTICASONE,curated_rule
DKI2550315017A1,DKI2550315017A1,SIDAPVIA,DAPAGLIFLOZIN PROPANEDIOL | SITAGLIPTIN PHOSPHATE MONOHYDRATE,DAPAGLIFLOZIN PROPANEDIOL | SITAGLIPTIN PHOSPHATE MONOHYDRATE,"['DAPAGLIFLOZIN PROPANEDIOL', 'SITAGLIPTIN PHOSPHATE MONOHYDRATE']",2,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2025-06-23,2030-06-23,Berlaku,aktif,1479,1,drug_name_category_lookup.csv,DAPAGLIFLOZIN | SITAGLIPTIN,curated_rule
DKL9531511110A1,DKL9531511110A1,SIMARC 2,WARFARIN SODIUM CLATHRATE,WARFARIN SODIUM CLATHRATE,['WARFARIN SODIUM CLATHRATE'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2026-04-15,2031-04-15,Berlaku,aktif,1775,1,drug_name_category_lookup.csv,WARFARIN,curated_rule
DKL2128210443A1,DKL2128210443A1,SIMPROFEN,DEXKETOPROFEN TROMETAMOL,DEXKETOPROFEN TROMETAMOL,['DEXKETOPROFEN TROMETAMOL'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 1 BLISTER @ 5 AMPUL @ 2 ML",SIMEX PHARMACEUTICAL INDONESIA - Indonesia,SIMEX PHARMACEUTICAL INDONESIA,Indonesia,2026-04-27,2031-04-27,Berlaku,aktif,1787,1,drug_name_category_lookup.csv,DEXKETOPROFEN,curated_rule
DKL2428212304A1,DKL2428212304A1,SIMSARTAN 40,KOMBINASI-TELMISARTAN POWDER 23.9,TELMISARTAN POWDER 23.9,['TELMISARTAN POWDER 23.9'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET; 167.5 MG,kaplet,oral,"DUS, 3 BLISTER @ 10 KAPLET",SIMEX PHARMACEUTICAL INDONESIA - Indonesia,SIMEX PHARMACEUTICAL INDONESIA,Indonesia,2024-02-16,2029-02-16,Berlaku,aktif,987,1,drug_name_category_lookup.csv,TELMISARTAN,curated_rule
GKL2616914717A1,GKL2616914717A1,SIMVASTATIN,SIMVASTATIN,SIMVASTATIN,['SIMVASTATIN'],1,statin,statin,statin,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 10 STRIP @ 10 TABLET SALUT SELAPUT ;; DUS, 3 STRIP @ 10 TABLET SALUT SELAPUT",MUTIARA MUKTI FARMA - Indonesia,MUTIARA MUKTI FARMA,Indonesia,2026-04-20,2031-04-20,Berlaku,aktif,1780,2,drug_name_category_lookup.csv,SIMVASTATIN,curated_rule
LKE13066095,LKE13066095,SINEMET,CARBIDOPA MONOHYDRATE | LEVODOPA,CARBIDOPA MONOHYDRATE | LEVODOPA,"['CARBIDOPA MONOHYDRATE', 'LEVODOPA']",2,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET,tablet,oral,"DRUM, MAKSIMUM @ 35 KG ;; DUS, 1 BOTOL @ 30 TABLET ;; DUS, 1 BOTOL @ 100 TABLET ;; DRUM, MAKSIMUM @ 26 KG",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2025-08-22,2030-08-22,Berlaku,aktif,1539,4,drug_name_category_lookup.csv,CARBIDOPA | LEVODOPA,curated_rule
LKE20066189,LKE20066189,SINEMET CR,LEVODOPA. CARBIDOPA,LEVODOPA. CARBIDOPA,['LEVODOPA. CARBIDOPA'],1,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET PELEPASAN LAMBAT; 200 MG /54  MG,tablet,oral,"DRUM, MAKSIMUM @ 30 KG ;; DUS, 1 BOTOL @ 100 TABLET PELEPASAN LAMBAT",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2020-02-11,2025-02-11,Berlaku (Khusus Ekspor),kedaluwarsa,-479,2,drug_name_category_lookup.csv,CARBIDOPA | LEVODOPA,curated_rule
LKE20066193,LKE20066193,SINEMET CR,CARBIDOPA. LEVODOPA,CARBIDOPA. LEVODOPA,['CARBIDOPA. LEVODOPA'],1,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET PELEPASAN LAMBAT; 50 MG /200 MG,tablet,oral,"DUS, 1 BOTOL @ 100 TABLET PELEPASAN LAMBAT ;; DRUM, MAKSIMUM 30 KG ;; DRUM, MAKSIMUM @ 30 KG",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2021-07-08,2025-07-05,Berlaku (Khusus Ekspor),kedaluwarsa,-335,3,drug_name_category_lookup.csv,CARBIDOPA | LEVODOPA,curated_rule
GKL2343503417A1,GKL2343503417A1,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE / METFORMIN HYDROCHLORIDE,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE. METFORMIN HYDROCHLORIDE,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE. METFORMIN HYDROCHLORIDE,['SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE. METFORMIN HYDROCHLORIDE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Generik Keras - Lokal,Obat Keras,1,1,"TABLET SALUT SELAPUT; 56,687 MG /1000 MG",tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2024-02-01,2029-02-01,Berlaku,aktif,972,1,drug_name_category_lookup.csv,METFORMIN | SITAGLIPTIN,curated_rule
GKL2443503417B1,GKL2443503417B1,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE / METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE | SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,METFORMIN HYDROCHLORIDE | SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,"['METFORMIN HYDROCHLORIDE', 'SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE']",2,antidiabetes,antidiabetes,antidiabetes,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 2 STRIP @ 14 TABLET SALUT SELAPUT",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2025-01-13,2030-01-13,Berlaku,aktif,1318,1,drug_name_category_lookup.csv,METFORMIN | SITAGLIPTIN,curated_rule
GKL1619932537A1,GKL1619932537A1,SODIUM VALPROATE,SODIUM VALPROATE,SODIUM VALPROATE,['SODIUM VALPROATE'],1,antikonvulsan,antikonvulsan,antikonvulsan,1,Obat Generik Keras - Lokal,Obat Keras,1,1,SIRUP,sirup,oral,"DUS, 1 BOTOL @ 120 ML",PHAPROS Tbk - Indonesia,PHAPROS Tbk,Indonesia,2026-02-26,2031-02-26,Berlaku,aktif,1727,1,drug_name_category_lookup.csv,VALPROATE,curated_rule
DKL2040813644A1,DKL2040813644A1,SOLFION,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE AND PHOSPHATE BUFFER 3 LYOPHILLIZED,METHYLPREDNISOLONE SODIUM SUCCINATE AND PHOSPHATE BUFFER 3 LYOPHILLIZED,['METHYLPREDNISOLONE SODIUM SUCCINATE AND PHOSPHATE BUFFER 3 LYOPHILLIZED'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SERBUK INJEKSI,injeksi,parenteral,"DUS, 1 VIAL @ 125 MG SERBUK INJEKSI + 1 AMPUL @ 2 ML PELARUT ;; DUS, 1 VIAL @ 500 MG SERBUK INJEKSI + 1 AMPUL @ 8 ML PELARUT",INFION - Indonesia,INFION,Indonesia,2025-02-10,2030-02-10,Berlaku,aktif,1346,2,drug_name_category_lookup.csv,METHYLPREDNISOLONE,curated_rule
DKL1240801210B1,DKL1240801210B1,SOLFION 8,METHYLPREDNISOLONE,METHYLPREDNISOLONE,['METHYLPREDNISOLONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 BLISTER @ 10 TABLET",INFION - Indonesia,INFION,Indonesia,2026-04-21,2031-04-21,Berlaku,aktif,1781,1,drug_name_category_lookup.csv,METHYLPREDNISOLONE,curated_rule
DKI1959203043A1,DKI1959203043A1,SOLIQUA,INSULIN GLARGINE. LIXISENATIDE,INSULIN GLARGINE. LIXISENATIDE,['INSULIN GLARGINE. LIXISENATIDE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,LARUTAN INJEKSI; 100 IU /33 MCG,injeksi,parenteral,"DUS, 3 PREFILLED PEN @ 3 ML",KALVENTIS SINERGI FARMA - Indonesia,KALVENTIS SINERGI FARMA,Indonesia,2024-08-11,2029-08-11,Berlaku,aktif,1163,1,drug_name_category_lookup.csv,INSULIN,curated_rule
GKL2608522510B1,GKL2608522510B1,SPIRONOLACTONE,SPIRONOLACTONE,SPIRONOLACTONE,['SPIRONOLACTONE'],1,diuretik_hemat_kalium,diuretik_hemat_kalium,diuretik_hemat_kalium,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2026-03-29,2031-03-29,Berlaku,aktif,1758,1,drug_name_category_lookup.csv,SPIRONOLACTONE,curated_rule
DKI2180901417C1,DKI2180901417C1,STALEVO,CARBIDOPA MONOHYDRATE | ENTACAPONE | LEVODOPA,CARBIDOPA MONOHYDRATE | ENTACAPONE | LEVODOPA,"['CARBIDOPA MONOHYDRATE', 'ENTACAPONE', 'LEVODOPA']",3,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 1 BOTOL PLASTIK @ 30 TABLET SALUT SELAPUT",IMEDCO DJAJA - Indonesia,IMEDCO DJAJA,Indonesia,2026-04-10,2031-02-22,Berlaku,aktif,1723,1,drug_name_category_lookup.csv,CARBIDOPA | LEVODOPA,curated_rule
DKL9208501204A1,DKL9208501204A1,STANZA 500,MEFENAMIC ACID,MEFENAMIC ACID,['MEFENAMIC ACID'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET,kaplet,oral,"DUS, 10 STRIP @ 10 KAPLET ;; DUS, 10 STRIP @ 10 KAPTAB",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2026-04-30,2031-04-30,Berlaku,aktif,1790,2,drug_name_category_lookup.csv,MEFENAMIC,curated_rule
LKE23227018,LKE23227018,SUDREX EXTRA,ACETYLSALICYLIC ACID | CAFFEINE | PARACETAMOL,ACETYLSALICYLIC ACID | CAFFEINE | PARACETAMOL,"['ACETYLSALICYLIC ACID', 'CAFFEINE', 'PARACETAMOL']",3,nsaid,nsaid|xantin,nsaid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,1,TABLET,tablet,oral,"DUS, 2 BLISTER @ 10 TABLET",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2026-04-26,2031-04-26,Berlaku,aktif,1786,1,drug_name_category_lookup.csv,ACETYLSALICYLIC | IBUPROFEN|CAFFEINE,curated_rule
DKI0251302067A1,DKI0251302067A1,SYMBICORT,FORMOTEROL FUMARATE DIHYDRATE. BUDESONIDE,FORMOTEROL FUMARATE DIHYDRATE. BUDESONIDE,['FORMOTEROL FUMARATE DIHYDRATE. BUDESONIDE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,SERBUK INHALER; 4.5 MCG /80 MCG,lainnya,oral,"DUS, 1 TURBUHALER @ 60 DOSIS",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2022-06-16,2027-06-16,Berlaku,aktif,376,1,drug_name_category_lookup.csv,BUDESONIDE,curated_rule
DKI2004900268A1,DKI2004900268A1,SYMBICORT RAPIHALER,BUDESONIDE | FORMOTEROL FUMARATE DIHYDRATE,BUDESONIDE | FORMOTEROL FUMARATE DIHYDRATE,"['BUDESONIDE', 'FORMOTEROL FUMARATE DIHYDRATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,SUSPENSI INHALASI,suspensi,oral,"DUS, 1 POUCH @ 1 RAPIHALER @ 120 DOSIS",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2025-04-24,2030-04-24,Berlaku,aktif,1419,1,drug_name_category_lookup.csv,BUDESONIDE,curated_rule
