backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKL2116712629A1,BETAGEN-G,BETAMETHASONE DIPROPIONATE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 0,64 MG /1,58 MG",topikal,aktif,1,1
DKL9722222646A1,BETAM-OPTHAL,BETAMETHASONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA,mata,aktif,1,1
DKL9830905929A1,BEVALEX,NEOMYCIN SULFATE. BETAMETHASONE VALERATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 5 MG /1,21 MG",topikal,aktif,1,1
DKL9714809229A1,BIOCORT,BETAMETHASONE VALERATE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL0022231660A1,BLECIDEX,GRAMICIDIN. DEXAMETHASONE SODIUM METASULFOBENZOATE. FRAMYCETIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"TETES MATA DAN TELINGA; 0,05 MG /0,795 MG /5 MG",mata,aktif,1,1
DKL9825101910A1,BLOPRESS,CANDESARTAN CILEXETIL,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
DTL0622719204A1,BODREX EXTRA,CAFFEINE | IBUPROFEN | PARACETAMOL,nsaid,nsaid|xantin,Obat Bebas Terbatas,0,KAPLET,oral,aktif,2,1
DKL7225102553A1,BORRAGINOL-S,BENZOCAINE | CETRIMIDE | LIDOCAINE | LITHOSPERMI RADIX EXTRACT | PREDNISOLONE,kortikosteroid,kortikosteroid,Obat Keras,1,SUPPOSITORIA,rektal/vaginal,aktif,1,1
DKL9822225146A1,BRALIFEX PLUS,DEXAMETHASONE | TOBRAMYCIN,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA,mata,aktif,1,1
DKL0600914704A1,BUFACARYL,DEXCHLORPHENIRAMINE MALEATE. DEXAMETHASONE,kortikosteroid,kortikosteroid,Obat Keras,1,"KAPLET; 2 MG /0,5 MG",oral,aktif,1,1
DKL7200914829A1,BUFACORT - N,NEOMYCIN SULFATE. HYDROCORTISONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 5 MG /10 MG,topikal,aktif,1,1
DKI1258501317A1,CADUET,ATORVASTATIN CALCIUM. AMLODIPINE BESILATE,ccb,ccb|statin,Obat Keras,1,TABLET SALUT SELAPUT; 10.85 MG /6.94 MG,oral,aktif,2,1
DKI2558502117A1,CADUET,AMLODIPINE BESILATE | ATORVASTATIN CALCIUM,ccb,ccb|statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,2,1
DKL2106720443A1,CAPNEU,CAFFEINE ANHYDROUS,xantin,xantin,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
DKL2132408243A1,CAPRISULIN LOG-G,INSULIN GLARGINE,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI,parenteral,aktif,1,1
GKL1106506310A1,CAPTOPRIL,CAPTOPRIL,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
GKL1433311410A1,CARBAMAZEPINE,CARBAMAZEPINE,antikonvulsan,antikonvulsan,Obat Keras,1,TABLET; 200 MG,oral,aktif,1,1
DKL2032720917A1,CARDUO,AMLODIPINE BESILATE | ATORVASTATIN CALCIUM TRIHYDRATE,ccb,ccb|statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,2,1
DKL2333556717A1,CARMELO,AMLODIPINE BESILATE | OLMESARTAN MEDOXOMIL,ace_arb,ace_arb|ccb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,2,1
